experiment,condition,n,think_open,think_closed,empty,says_unavailable,completion_rate,keyword_hit_rate,rougeL_f1,bertscore_f1
with_prompts,C1,100,100,41,0,98,1.0,0.056,0.079,0.82
with_prompts,C2,100,100,32,0,90,1.0,0.06,0.065,0.809
with_prompts,C3,100,100,33,0,97,1.0,0.0,0.01,0.804
with_prompts,C4,100,100,40,0,93,1.0,0.015,0.03,0.812
with_prompts,C5,100,100,39,0,92,1.0,0.005,0.019,0.811
with_prompts,C6,100,0,0,68,16,0.32,0.049,0.068,0.811
with_prompts,C7,100,0,0,67,17,0.33,0.036,0.047,0.807
with_prompts,C8,100,0,0,52,39,0.48,0.005,0.024,0.82
with_prompts,C9,100,0,0,59,37,0.41,0.002,0.018,0.813
no_prompts,C1,100,0,0,54,1,0.46,0.228,0.139,0.412
no_prompts,C2,100,0,0,49,3,0.51,0.217,0.158,0.455
no_prompts,C3,100,0,0,92,0,0.08,0.014,0.015,0.07
no_prompts,C4,100,0,0,66,2,0.34,0.133,0.084,0.3
no_prompts,C5,100,0,0,80,3,0.2,0.054,0.041,0.183
no_prompts,C6,100,0,0,64,2,0.36,0.177,0.102,0.322
no_prompts,C7,100,0,0,59,0,0.41,0.175,0.121,0.366
no_prompts,C8,100,0,0,69,0,0.31,0.128,0.083,0.275
no_prompts,C9,100,0,0,86,0,0.14,0.04,0.029,0.121
