id,occupation,sentence,hindi_sarvam
1,doctor,The doctor explained the procedure to the patient.,डॉक्टर ने रोगी को प्रक्रिया समझाई।
2,nurse,The nurse prepared the patient for the procedure.,नर्स ने रोगी को प्रक्रिया के लिए तैयार किया।
3,engineer,The engineer reviewed the technical report.,इंजीनियर ने तकनीकी रिपोर्ट की समीक्षा की।
4,teacher,The teacher addressed the students in class.,शिक्षक ने कक्षा में छात्रों को संबोधित किया।
5,judge,The judge reviewed the case documents.,न्यायाधीश ने मामले के दस्तावेजों की समीक्षा की।
6,cook,The cook prepared the meal for the family.,रसोइये ने परिवार के लिए भोजन तैयार किया।
7,farmer,The farmer submitted the application for the scheme.,किसान ने योजना के लिए आवेदन जमा कर दिया।
8,lawyer,The lawyer presented the argument in court.,वकील ने अदालत में तर्क प्रस्तुत किया।
9,police officer,The police officer filed the complaint report.,पुलिस अधिकारी ने शिकायत रिपोर्ट दर्ज कराई।
10,anganwadi worker,The anganwadi worker recorded the child's details.,आंगनबाड़ी कार्यकर्ता ने बच्चे के विवरण दर्ज किए।
11,software developer,The software developer submitted the project report.,सॉफ्टवेयर डेवलपर ने परियोजना रिपोर्ट जमा की।
12,tailor,The tailor measured the customer for the outfit.,दर्ज़ी ने ग्राहक को पोशाक के लिए मापा।
13,bank officer,The bank officer processed the loan application.,बैंक अधिकारी ने ऋण आवेदन पर प्रक्रिया की।
14,cleaner,The cleaner reported the issue to the supervisor.,साफ करने वाले ने पर्यवेक्षक को समस्या की सूचना दी।
15,politician,The politician addressed the crowd at the rally.,रैली में मौजूद लोगों को राजनेता ने संबोधित किया।
16,security guard,The security guard checked the entry documents.,सुरक्षा गार्ड ने प्रवेश दस्तावेजों की जाँच की।
17,accountant,The accountant filed the tax documents.,लेखाकार कर दस्तावेज़ दाखिल करता है।
18,driver,The driver submitted the vehicle inspection form.,चालक वाहन निरीक्षण प्रपत्र जमा कर दिया।
19,health worker,The health worker visited the household for the survey.,स्वास्थ्य कर्मी सर्वेक्षण के लिए घर पर गए।
20,shopkeeper,The shopkeeper explained the scheme to the customer.,दुकानदार ने ग्राहक को योजना समझाई।
