Model,Condition,KW-Hit,ROUGE-L,BERTScore,Judge
llama,C1,0.001,0.007,0.671,
llama,C2,0.003,0.007,0.67,
llama,C3,0.003,0.007,0.653,
llama,C4,0.002,0.007,0.659,
llama,C5,0.006,0.007,0.623,
llama,C6,0.053,0.044,0.868,
mixtral,C1,0.001,0.007,0.659,
mixtral,C2,0.005,0.007,0.65,
mixtral,C3,0.011,0.008,0.627,
mixtral,C4,0.003,0.008,0.639,
mixtral,C5,0.001,0.007,0.638,
mixtral,C6,0.095,0.044,0.863,
qwen,C1,0.001,0.007,0.68,
qwen,C2,0.003,0.007,0.67,
qwen,C3,0.001,0.007,0.665,
qwen,C4,0.001,0.007,0.643,
qwen,C5,0.004,0.007,0.615,
qwen,C6,0.074,0.044,0.872,
sarvam,C1,0.003,0.008,0.612,
sarvam,C2,0.005,0.007,0.601,
sarvam,C3,0.001,0.007,0.596,
sarvam,C4,0.001,0.007,0.583,
sarvam,C5,0.003,0.008,0.584,
sarvam,C6,0.121,0.044,0.863,
